year,state,blood_type,donations
2019,Johor,a,10277
2019,Johor,ab,2128
2019,Johor,b,11043
2019,Johor,o,17813
2019,Kedah,a,10539
2019,Kedah,ab,2869
2019,Kedah,b,11979
2019,Kedah,o,17119
2019,Kelantan,a,3067
2019,Kelantan,ab,801
2019,Kelantan,b,3046
2019,Kelantan,o,4669
2019,Melaka,a,7790
2019,Melaka,ab,1835
2019,Melaka,b,7790
2019,Melaka,o,12818
2019,Negeri Sembilan,a,4463
2019,Negeri Sembilan,ab,1082
2019,Negeri Sembilan,b,4965
2019,Negeri Sembilan,o,7796
2019,Pahang,a,3872
2019,Pahang,ab,1035
2019,Pahang,b,4447
2019,Pahang,o,6456
2019,Perak,a,10354
2019,Perak,ab,2573
2019,Perak,b,11159
2019,Perak,o,16946
2019,Pulau Pinang,a,10885
2019,Pulau Pinang,ab,2803
2019,Pulau Pinang,b,11353
2019,Pulau Pinang,o,18407
2019,Sabah,a,8122
2019,Sabah,ab,1686
2019,Sabah,b,8677
2019,Sabah,o,17671
2019,Sarawak,a,9055
2019,Sarawak,ab,2650
2019,Sarawak,b,10829
2019,Sarawak,o,15033
2019,Selangor,a,6842
2019,Selangor,ab,1810
2019,Selangor,b,7576
2019,Selangor,o,11836
2019,Terengganu,a,3931
2019,Terengganu,ab,1164
2019,Terengganu,b,4631
2019,Terengganu,o,6578
2019,W.P. Kuala Lumpur,a,50198
2019,W.P. Kuala Lumpur,ab,11353
2019,W.P. Kuala Lumpur,b,53934
2019,W.P. Kuala Lumpur,o,83009
2020,Johor,a,9924
2020,Johor,ab,2093
2020,Johor,b,10996
2020,Johor,o,17692
2020,Kedah,a,4647
2020,Kedah,ab,1272
2020,Kedah,b,5286
2020,Kedah,o,7671
2020,Kelantan,a,3401
2020,Kelantan,ab,865
2020,Kelantan,b,3364
2020,Kelantan,o,5127
2020,Melaka,a,7072
2020,Melaka,ab,1690
2020,Melaka,b,7316
2020,Melaka,o,11458
2020,Negeri Sembilan,a,3988
2020,Negeri Sembilan,ab,983
2020,Negeri Sembilan,b,4528
2020,Negeri Sembilan,o,6899
2020,Pahang,a,5720
2020,Pahang,ab,1379
2020,Pahang,b,6270
2020,Pahang,o,8786
2020,Perak,a,9919
2020,Perak,ab,2558
2020,Perak,b,10924
2020,Perak,o,16685
2020,Pulau Pinang,a,9035
2020,Pulau Pinang,ab,2202
2020,Pulau Pinang,b,9807
2020,Pulau Pinang,o,15468
2020,Sabah,a,7576
2020,Sabah,ab,1685
2020,Sabah,b,8236
2020,Sabah,o,16572
2020,Sarawak,a,7923
2020,Sarawak,ab,2277
2020,Sarawak,b,9684
2020,Sarawak,o,14076
2020,Selangor,a,7117
2020,Selangor,ab,1824
2020,Selangor,b,7794
2020,Selangor,o,12497
2020,Terengganu,a,3769
2020,Terengganu,ab,1083
2020,Terengganu,b,4325
2020,Terengganu,o,6184
2020,W.P. Kuala Lumpur,a,42860
